entry-number,entry-timestamp,local-authority-eng,local-authority-type,local-authority-type-name,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,gss-code,old-ons-la-code,ualad99
175,2016-10-21T16:11:20Z,KEC,LBO,London borough,Royal Borough of Kensington and Chelsea,Kensington and Chelsea,Kensington & Chelsea,,,E09000020,207,
174,2016-10-21T16:11:20Z,ISL,LBO,London borough,London Borough of Islington,Islington,,,,E09000019,206,
173,2016-10-21T16:11:20Z,HRY,LBO,London borough,London Borough of Haringey,Haringey,,,,E09000014,309,
172,2016-10-21T16:11:20Z,HRW,LBO,London borough,London Borough of Harrow,Harrow,,,,E09000015,310,
171,2016-10-21T16:11:20Z,HNS,LBO,London borough,London Borough of Hounslow,Hounslow,,,,E09000018,313,
170,2016-10-21T16:11:20Z,HMF,LBO,London borough,London Borough of Hammersmith & Fulham,Hammersmith and Fulham,Hammersmith & Fulham,,,E09000013,205,
169,2016-10-21T16:11:20Z,HIL,LBO,London borough,London Borough of Hillingdon,Hillingdon,,,,E09000017,312,
168,2016-10-21T16:11:20Z,HCK,LBO,London borough,London Borough of Hackney,Hackney,,,,E09000012,204,
167,2016-10-21T16:11:20Z,HAV,LBO,London borough,London Borough of Havering,Havering,,,,E09000016,311,
166,2016-10-21T16:11:20Z,GRE,LBO,London borough,Royal Borough of Greenwich,Greenwich,,,,E09000011,203,
165,2016-10-21T16:11:20Z,ENF,LBO,London borough,London Borough of Enfield,Enfield,,,,E09000010,308,
164,2016-10-21T16:11:20Z,EAL,LBO,London borough,London Borough of Ealing,Ealing,,,,E09000009,307,
163,2016-10-21T16:11:20Z,CRY,LBO,London borough,London Borough of Croydon,Croydon,,,,E09000008,306,
162,2016-10-21T16:11:20Z,CMD,LBO,London borough,London Borough of Camden,Camden,,,,E09000007,202,
161,2016-10-21T16:11:20Z,BRY,LBO,London borough,London Borough of Bromley,Bromley,,,,E09000006,305,
160,2016-10-21T16:11:20Z,BNE,LBO,London borough,London Borough of Barnet,Barnet,,,,E09000003,302,
159,2016-10-21T16:11:20Z,BEX,LBO,London borough,London Borough of Bexley,Bexley,,,,E09000004,303,
158,2016-10-21T16:11:20Z,BEN,LBO,London borough,London Borough of Brent,Brent,,,,E09000005,304,
157,2016-10-21T16:11:20Z,BDG,LBO,London borough,London Borough of Barking and Dagenham,Barking and Dagenham,Barking & Dagenham,,,E09000002,301,
156,2016-10-21T16:11:20Z,WEA,NMD,Non-metropolitan district,Wealden District Council,Wealden,,,,E07000065,21UH,
155,2016-10-21T16:11:20Z,ROH,NMD,Non-metropolitan district,Rother District Council,Rother,,,,E07000064,21UG,
154,2016-10-21T16:11:20Z,LEE,NMD,Non-metropolitan district,Lewes District Council,Lewes,,,,E07000063,21UF,
153,2016-10-21T16:11:20Z,HAS,NMD,Non-metropolitan district,Hastings Borough Council,Hastings,,,,E07000062,21UD,
152,2016-10-21T16:11:20Z,EAS,NMD,Non-metropolitan district,Eastbourne Borough Council,Eastbourne,,,,E07000061,21UC,
151,2016-10-21T16:11:20Z,ESX,CTY,County,East Sussex County Council,East Sussex,,,,E10000011,845,21-00
150,2016-10-21T16:11:20Z,UTT,NMD,Non-metropolitan district,Uttlesford District Council,Uttlesford,,,,E07000077,22UQ,
149,2016-10-21T16:11:20Z,TEN,NMD,Non-metropolitan district,Tendring District Council,Tendring,,,,E07000076,22UN,
148,2016-10-21T16:11:20Z,ROC,NMD,Non-metropolitan district,Rochford District Council,Rochford,,,,E07000075,22UL,
147,2016-10-21T16:11:20Z,MAL,NMD,Non-metropolitan district,Maldon District Council,Maldon,,,,E07000074,22UK,
146,2016-10-21T16:11:20Z,HAR,NMD,Non-metropolitan district,Harlow District Council,Harlow,,,,E07000073,22UJ,
145,2016-10-21T16:11:20Z,EPP,NMD,Non-metropolitan district,Epping Forest District Council,Epping Forest,,,,E07000072,22UH,
144,2016-10-21T16:11:20Z,COL,NMD,Non-metropolitan district,Colchester Borough Council,Colchester,,,,E07000071,22UG,
143,2016-10-21T16:11:20Z,CHL,NMD,Non-metropolitan district,Chelmsford City Council,Chelmsford,,,,E07000070,22UF,
142,2016-10-21T16:11:20Z,CAS,NMD,Non-metropolitan district,Castle Point Borough Council,Castle Point,,,,E07000069,22UE,
141,2016-10-21T16:11:20Z,BRW,NMD,Non-metropolitan district,Brentwood Borough Council,Brentwood,,,,E07000068,22UD,
140,2016-10-21T16:11:20Z,BRA,NMD,Non-metropolitan district,Braintree District Council,Braintree,,,,E07000067,22UC,
139,2016-10-21T16:11:20Z,BAI,NMD,Non-metropolitan district,Basildon Borough Council,Basildon,,,,E07000066,22UB,
138,2016-10-21T16:11:20Z,ESS,CTY,County,Essex County Council,Essex,,,,E10000012,881,22-00
137,2016-10-21T16:11:20Z,WEY,NMD,Non-metropolitan district,Weymouth and Portland Borough Council,Weymouth and Portland,Weymouth & Portland,,,E07000053,19UJ,
136,2016-10-21T16:11:20Z,WDO,NMD,Non-metropolitan district,West Dorset District Council,West Dorset,,,,E07000052,19UH,
135,2016-10-21T16:11:20Z,PUR,NMD,Non-metropolitan district,Purbeck District Council,Purbeck,,,,E07000051,19UG,
134,2016-10-21T16:11:20Z,NDO,NMD,Non-metropolitan district,North Dorset District Council,North Dorset,,,,E07000050,19UE,
133,2016-10-21T16:11:20Z,EDO,NMD,Non-metropolitan district,East Dorset District Council,East Dorset,,,,E07000049,19UD,
132,2016-10-21T16:11:20Z,CHC,NMD,Non-metropolitan district,Christchurch Borough Council,Christchurch,,,,E07000048,19UC,
131,2016-10-21T16:11:20Z,DOR,CTY,County,Dorset County Council,Dorset,,,,E10000009,835,19-00
130,2016-10-21T16:11:20Z,WDE,NMD,Non-metropolitan district,West Devon Borough Council,West Devon,,,,E07000047,18UL,
129,2016-10-21T16:11:20Z,TOR,NMD,Non-metropolitan district,Torridge District Council,Torridge,,,,E07000046,18UK,
128,2016-10-21T16:11:20Z,TEI,NMD,Non-metropolitan district,Teignbridge District Council,Teignbridge,,,,E07000045,18UH,
127,2016-10-21T16:11:20Z,SHA,NMD,Non-metropolitan district,South Hams District Council,South Hams,,,,E07000044,18UG,
126,2016-10-21T16:11:20Z,NDE,NMD,Non-metropolitan district,North Devon District Council,North Devon,,,,E07000043,18UE,
125,2016-10-21T16:11:20Z,MDE,NMD,Non-metropolitan district,Mid Devon District Council,Mid Devon,,,,E07000042,18UD,
124,2016-10-21T16:11:20Z,EXE,NMD,Non-metropolitan district,Exeter City Council,Exeter,,,,E07000041,18UC,
123,2016-10-21T16:11:20Z,EDE,NMD,Non-metropolitan district,East Devon District Council,East Devon,,,,E07000040,18UB,
122,2016-10-21T16:11:20Z,DEV,CTY,County,Devon County Council,Devon,,,,E10000008,878,18-00
121,2016-10-21T16:11:20Z,SDE,NMD,Non-metropolitan district,South Derbyshire District Council,South Derbyshire,,,,E07000039,17UK,
120,2016-10-21T16:11:20Z,NED,NMD,Non-metropolitan district,North East Derbyshire District Council,North East Derbyshire,,,,E07000038,17UJ,
119,2016-10-21T16:11:20Z,HIG,NMD,Non-metropolitan district,High Peak Borough Council,High Peak,,,,E07000037,17UH,
118,2016-10-21T16:11:20Z,ERE,NMD,Non-metropolitan district,Erewash Borough Council,Erewash,,,,E07000036,17UG,
117,2016-10-21T16:11:20Z,DEB,NMD,Non-metropolitan district,Derbyshire Dales District Council,Derbyshire Dales,,,,E07000035,17UF,
116,2016-10-21T16:11:20Z,CHS,NMD,Non-metropolitan district,Chesterfield Borough Council,Chesterfield,,,,E07000034,17UD,
115,2016-10-21T16:11:20Z,BOS,NMD,Non-metropolitan district,Bolsover District Council,Bolsover,,,,E07000033,17UC,
114,2016-10-21T16:11:20Z,AMB,NMD,Non-metropolitan district,Amber Valley Borough Council,Amber Valley,,,,E07000032,17UB,
113,2016-10-21T16:11:20Z,DBY,CTY,County,Derbyshire County Council,Derbyshire,,,,E10000007,830,17-00
112,2016-10-21T16:11:20Z,DER,UA,Unitary authority,Derby City Council,Derby,Derby City UA,Derby UA,,E06000015,831,00-FK
111,2016-10-21T16:11:20Z,SLA,NMD,Non-metropolitan district,South Lakeland District Council,South Lakeland,,,,E07000031,16UG,
110,2016-10-21T16:11:20Z,EDN,NMD,Non-metropolitan district,Eden District Council,Eden,,,,E07000030,16UF,
109,2016-10-21T16:11:20Z,COP,NMD,Non-metropolitan district,Copeland Borough Council,Copeland,,,,E07000029,16UE,
108,2016-10-21T16:11:20Z,CAR,NMD,Non-metropolitan district,Carlisle City Council,Carlisle,,,,E07000028,16UD,
107,2016-10-21T16:11:20Z,BAR,NMD,Non-metropolitan district,Barrow-in-Furness Borough Council,Barrow-in-Furness,,,,E07000027,16UC,
106,2016-10-21T16:11:20Z,ALL,NMD,Non-metropolitan district,Allerdale Borough Council,Allerdale,,,,E07000026,16UB,
105,2016-10-21T16:11:20Z,CMA,CTY,County,Cumbria County Council,Cumbria,,,,E10000006,909,16-00
104,2016-10-21T16:11:20Z,SCA,NMD,Non-metropolitan district,South Cambridgeshire District Council,South Cambridgeshire,,,,E07000012,12UG,
103,2016-10-21T16:11:20Z,HUN,NMD,Non-metropolitan district,Huntingdonshire District Council,Huntingdonshire,,,,E07000011,12UE,
102,2016-10-21T16:11:20Z,FEN,NMD,Non-metropolitan district,Fenland District Council,Fenland,,,,E07000010,12UD,
101,2016-10-21T16:11:20Z,ECA,NMD,Non-metropolitan district,East Cambridgeshire District Council,East Cambridgeshire,,,,E07000009,12UC,
100,2016-10-21T16:11:20Z,CAB,NMD,Non-metropolitan district,Cambridge City Council,Cambridge,,,,E07000008,12UB,
99,2016-10-21T16:11:20Z,CAM,CTY,County,Cambridgeshire County Council,Cambridgeshire,,,,E10000003,873,12-00
98,2016-10-21T16:11:20Z,WYO,NMD,Non-metropolitan district,Wycombe District Council,Wycombe,,,,E07000007,11UF,
97,2016-10-21T16:11:20Z,SBU,NMD,Non-metropolitan district,South Bucks District Council,South Bucks,,,,E07000006,11UE,
96,2016-10-21T16:11:20Z,CHN,NMD,Non-metropolitan district,Chiltern District Council,Chiltern,,,,E07000005,11UC,
95,2016-10-21T16:11:20Z,AYL,NMD,Non-metropolitan district,Aylesbury Vale District Council,Aylesbury Vale,,,,E07000004,11UB,
94,2016-10-21T16:11:20Z,BKM,CTY,County,Buckinghamshire County Council,Buckinghamshire,,,19-06-05,E10000002,825,11-00
93,2016-10-21T16:11:20Z,YOR,UA,Unitary authority,City of York Council,York,York UA,,18-06-05,E06000014,816,00-FF
92,2016-10-21T16:11:20Z,WRT,UA,Unitary authority,Warrington Borough Council,Warrington,Warrington UA,,20-06-05,E06000007,877,00-EU
91,2016-10-21T16:11:20Z,WRL,MD,Metropolitan district,Wirral Borough Council,Wirral,,,01-04-74,E08000015,344,00-CB
90,2016-10-21T16:11:20Z,WOK,UA,Unitary authority,Wokingham Borough Council,Wokingham,Wokingham UA,,20-06-05,E06000041,872,00-MF
89,2016-10-21T16:11:20Z,WNM,UA,Unitary authority,Royal Borough of Windsor and Maidenhead,Windsor and Maidenhead,Windsor & Maidenhead UA,,20-06-05,E06000040,868,00-ME
88,2016-10-21T16:11:20Z,WLV,MD,Metropolitan district,City of Wolverhampton Council,Wolverhampton,,,01-04-74,E08000031,336,00-CW
87,2016-10-21T16:11:20Z,WLL,MD,Metropolitan district,Walsall Metropolitan Borough Council,Walsall,,,01-04-74,E08000030,335,00-CU
86,2016-10-21T16:11:20Z,WKF,MD,Metropolitan district,Wakefield Metropolitan District Council,Wakefield,,,01-04-74,E08000036,384,00-DB
85,2016-10-21T16:11:20Z,WIL,UA,Unitary authority,Wiltshire Council,Wiltshire,Wiltshire UA,,01-04-09,E06000054,865,00-HY
84,2016-10-21T16:11:20Z,WGN,MD,Metropolitan district,Wigan Metropolitan Borough Council,Wigan,,,01-04-74,E08000010,359,00-BW
83,2016-10-21T16:11:20Z,WBK,UA,Unitary authority,West Berkshire Council,West Berkshire,West Berkshire UA,,20-06-05,E06000037,869,00-MB
82,2016-10-21T16:11:20Z,TRF,MD,Metropolitan district,Trafford Metropolitan Borough Council,Trafford,,,01-04-74,E08000009,358,00-BU
81,2016-10-21T16:11:20Z,TOB,UA,Unitary authority,Torbay Council,Torbay,Torbay UA,,20-06-05,E06000027,880,00-HH
80,2016-10-21T16:11:20Z,THR,UA,Unitary authority,Thurrock Council,Thurrock,Thurrock UA,,20-06-05,E06000034,883,00-KG
79,2016-10-21T16:11:20Z,TFW,UA,Unitary authority,Telford & Wrekin Council,Telford and Wrekin,Telford and the Wrekin UA,Telford & Wrekin UA,20-06-05,E06000020,894,00-GF
78,2016-10-21T16:11:20Z,TAM,MD,Metropolitan district,Tameside Metropolitan Borough Council,Tameside,,,01-04-74,E08000008,357,00-BT
77,2016-10-21T16:11:20Z,SWD,UA,Unitary authority,Swindon Borough Council,Swindon,Swindon UA,,20-06-05,E06000030,866,00-HX
76,2016-10-21T16:11:20Z,STY,MD,Metropolitan district,South Tyneside Council,South Tyneside,,,01-04-74,E08000023,393,00-CL
75,2016-10-21T16:11:20Z,STT,UA,Unitary authority,Stockton-on-Tees Borough Council,Stockton-on-Tees,Stockton-On-Tees UA,Stockton On Tees UA,18-06-05,E06000004,808,00-EF
74,2016-10-21T16:11:20Z,STH,UA,Unitary authority,Southampton City Council,Southampton,Southampton UA,,19-06-05,E06000045,852,00-MS
73,2016-10-21T16:11:20Z,STE,UA,Unitary authority,Stoke-on-Trent City Council,Stoke-on-Trent,Stoke-On-Trent UA,,20-06-05,E06000021,861,00-GL
72,2016-10-21T16:11:20Z,SOS,UA,Unitary authority,Southend-on-Sea Borough Council,Southend-on-Sea,Southend-on-Sea UA,Southend UA,20-06-05,E06000033,882,00-KF
71,2016-10-21T16:11:20Z,SOL,MD,Metropolitan district,Solihull Metropolitan Borough Council,Solihull,,,27-05-05,E08000029,334,00-CT
70,2016-10-21T16:11:20Z,SND,MD,Metropolitan district,Sunderland City Council,Sunderland,,,27-05-05,E08000024,394,00-CM
69,2016-10-21T16:11:20Z,SLG,UA,Unitary authority,Slough Borough Council,Slough,Slough UA,,01-04-98,E06000039,871,00-MD
68,2016-10-21T16:11:20Z,SLF,MD,Metropolitan district,Salford City Council,Salford,,,27-05-05,E08000006,355,00-BR
67,2016-10-21T16:11:20Z,SKP,MD,Metropolitan district,Stockport Metropolitan Borough Council,Stockport,,,27-05-05,E08000007,356,00-BS
66,2016-10-21T16:11:20Z,SHR,UA,Unitary authority,Shropshire Council,Shropshire,Shropshire UA,,01-04-09,E06000051,893,00-GG
65,2016-10-21T16:11:20Z,SHN,MD,Metropolitan district,St Helens Council,St. Helens,St Helens,,08-06-05,E08000013,342,00-BZ
64,2016-10-21T16:11:20Z,SHF,MD,Metropolitan district,Sheffield City Council,Sheffield,,,08-06-05,E08000019,373,00-CG
63,2016-10-21T16:11:20Z,SGC,UA,Unitary authority,South Gloucestershire Council,South Gloucestershire,South Gloucestershire UA,,18-06-05,E06000025,803,00-HD
62,2016-10-21T16:11:20Z,SFT,MD,Metropolitan district,Sefton Metropolitan Borough Council,Sefton,,,08-06-05,E08000014,343,00-CA
61,2016-10-21T16:11:20Z,SAW,MD,Metropolitan district,Sandwell Metropolitan Borough Council,Sandwell,,,07-06-05,E08000028,333,00-CS
60,2016-10-21T16:11:20Z,RUT,UA,Unitary authority,Rutland County Council,Rutland,Rutland UA,,01-04-97,E06000017,857,00-FP
59,2016-10-21T16:11:20Z,ROT,MD,Metropolitan district,Rotherham Metropolitan Borough Council,Rotherham,,,27-05-05,E08000018,372,00-CF
58,2016-10-21T16:11:20Z,RDG,UA,Unitary authority,Reading Borough Council,Reading,Reading UA,,27-05-05,E06000038,870,00-MC
57,2016-10-21T16:11:20Z,RCH,MD,Metropolitan district,Rochdale Metropolitan Borough Council,Rochdale,,,27-05-05,E08000005,354,00-BQ
56,2016-10-21T16:11:20Z,RCC,UA,Unitary authority,Redcar and Cleveland Borough Council,Redcar and Cleveland,Redcar & Cleveland UA,,01-04-96,E06000003,807,00-EE
55,2016-10-21T16:11:20Z,PTE,UA,Unitary authority,Peterborough City Council,Peterborough,Peterborough UA,,20-06-05,E06000031,874,00-JA
54,2016-10-21T16:11:20Z,POR,UA,Unitary authority,Portsmouth City Council,Portsmouth,Portsmouth UA,,20-06-05,E06000044,851,00-MR
53,2016-10-21T16:11:20Z,POL,UA,Unitary authority,Borough of Poole,Poole,Poole UA,,01-04-97,E06000029,836,00-HP
52,2016-10-21T16:11:20Z,PLY,UA,Unitary authority,Plymouth City Council,Plymouth,Plymouth UA,,01-04-98,E06000026,879,00-HG
51,2016-10-21T16:11:20Z,OLD,MD,Metropolitan district,Oldham Metropolitan Borough Council,Oldham,,,07-06-05,E08000004,353,00-BP
50,2016-10-21T16:11:20Z,NTY,MD,Metropolitan district,North Tyneside Council,North Tyneside,,,01-04-74,E08000022,392,00-CK
49,2016-10-21T16:11:20Z,NSM,UA,Unitary authority,North Somerset  Council,North Somerset,North Somerset UA,,01-04-96,E06000024,802,00-HC
48,2016-10-21T16:11:20Z,NLN,UA,Unitary authority,North Lincolnshire Council,North Lincolnshire,North Lincolnshire UA,,01-04-96,E06000013,813,00-FD
47,2016-10-21T16:11:20Z,NGM,UA,Unitary authority,Nottingham City Council,Nottingham,City of Nottingham UA,Nottingham UA,20-06-05,E06000018,892,00-FY
46,2016-10-21T16:11:20Z,NET,MD,Metropolitan district,Newcastle City Council,Newcastle upon Tyne,,,01-04-74,E08000021,391,00-CJ
45,2016-10-21T16:11:20Z,NEL,UA,Unitary authority,North East Lincolnshire Council,North East Lincolnshire,North East Lincolnshire UA,,01-04-96,E06000012,812,00-FC
44,2016-10-21T16:11:20Z,NBL,UA,Unitary authority,Northumberland County Council,Northumberland,Northumberland UA,,01-04-09,E06000048,929,
43,2016-10-21T16:11:20Z,MIK,UA,Unitary authority,Milton Keynes Council,Milton Keynes,Milton Keynes UA,,19-06-05,E06000042,826,00-MG
42,2016-10-21T16:11:20Z,MDW,UA,Unitary authority,Medway Council,Medway,The Medway Towns UA,Medway Towns UA,01-04-98,E06000035,887,00-LC
41,2016-10-21T16:11:20Z,MDB,UA,Unitary authority,Middlesbrough Borough Council,Middlesbrough,Middlesbrough UA,,18-06-05,E06000002,806,00-EC
40,2016-10-21T16:11:20Z,MAN,MD,Metropolitan district,Manchester City Council,Manchester,,,01-04-74,E08000003,352,00-BN
39,2016-10-21T16:11:20Z,LUT,UA,Unitary authority,Luton Borough Council,Luton,Luton UA,,19-06-05,E06000032,821,00-KA
37,2016-10-21T16:11:20Z,LIV,MD,Metropolitan district,Liverpool City Council,Liverpool,,,08-06-05,E08000012,341,00-BY
36,2016-10-21T16:11:20Z,LDS,MD,Metropolitan district,Leeds City Council,Leeds,,,08-06-05,E08000035,383,00-DA
35,2016-10-21T16:11:20Z,LCE,UA,Unitary authority,Leicester City Council,Leicester,Leicester City UA,Leicester UA,19-06-05,E06000016,856,00-FN
34,2016-10-21T16:11:20Z,KWL,MD,Metropolitan district,Knowsley Metropolitan Borough Council,Knowsley,,,01-04-74,E08000011,340,00-BX
33,2016-10-21T16:11:20Z,KIR,MD,Metropolitan district,Kirklees Council,Kirklees,,,01-04-74,E08000034,382,00-CZ
32,2016-10-21T16:11:20Z,KHL,UA,Unitary authority,Hull City Council,Kingston upon Hull,"Kingston upon Hull, City of",Kingston Upon Hull UA,01-04-96,E06000010,810,00-FA
31,2016-10-21T16:11:20Z,IOW,UA,Unitary authority,Isle of Wight Council,Isle of Wight,Isle Of Wight UA,,17-06-05,E06000046,921,00-MW
30,2016-10-21T16:11:20Z,IOS,UA,Unitary authority,Council of the Isles of Scilly,Isles of Scilly,,,01-04-74,E06000053,420,00-HF
29,2016-10-21T16:11:20Z,HPL,UA,Unitary authority,Hartlepool Borough Council,Hartlepool,Hartlepool UA,,18-06-05,E06000001,805,00-EB
28,2016-10-21T16:11:20Z,HEF,UA,Unitary authority,Herefordshire Council,Herefordshire,Herefordshire UA,,01-04-98,E06000019,884,00-GA
27,2016-10-21T16:11:20Z,HAL,UA,Unitary authority,Halton Borough Council,Halton,Halton UA,,01-04-98,E06000006,876,00-ET
25,2016-10-21T16:11:20Z,GAT,MD,Metropolitan district,Gateshead Metropolitan Borough Council,Gateshead,,,01-04-74,E08000020,390,
24,2016-10-21T16:11:20Z,ERY,UA,Unitary authority,East Riding of Yorkshire Council,East Riding of Yorkshire,East Riding Of Yorkshire UA,,01-04-96,E06000011,811,00-FB
23,2016-10-21T16:11:20Z,DUR,UA,Unitary authority,Durham County Council,County Durham,Durham,Durham UA,01-04-09,E06000047,840,00-EJ
22,2016-10-21T16:11:20Z,DUD,MD,Metropolitan district,Dudley Metropolitan Borough Council,Dudley,,,01-04-74,E08000027,332,00-CR
21,2016-10-21T16:11:20Z,DNC,MD,Metropolitan district,Doncaster Metropolitan Borough Council,Doncaster,,,01-04-74,E08000017,371,00-CE
20,2016-10-21T16:11:20Z,DAL,UA,Unitary authority,Darlington Borough Council,Darlington,Darlington UA,,01-04-97,E06000005,841,00-EH
19,2016-10-21T16:11:20Z,COV,MD,Metropolitan district,Coventry City Council,Coventry,,,01-04-74,E08000026,331,00-CQ
18,2016-10-21T16:11:20Z,CON,UA,Unitary authority,Cornwall Council,Cornwall,Cornwall UA,,01-04-09,E06000052,908,00-HE
17,2016-10-21T16:11:20Z,CLD,MD,Metropolitan district,Calderdale Metropolitan Borough Council,Calderdale,,,01-04-74,E08000033,381,00-CY
16,2016-10-21T16:11:20Z,CHW,UA,Unitary authority,Cheshire West and Chester Council,Cheshire West and Chester,Cheshire West And Chester UA,,01-04-09,E06000050,896,00-EW
15,2016-10-21T16:11:20Z,CHE,UA,Unitary authority,Cheshire East Council,Cheshire East,Cheshire East UA,,01-04-09,E06000049,895,00-EQ
14,2016-10-21T16:11:20Z,CBF,UA,Unitary authority,Central Bedfordshire Council,Central Bedfordshire,,,01-04-09,E06000056,823,00-KC
13,2016-10-21T16:11:20Z,BUR,MD,Metropolitan district,Bury Metropolitan Borough Council,Bury,,,01-04-74,E08000002,351,00-BM
12,2016-10-21T16:11:20Z,BST,UA,Unitary authority,Bristol City Council,City of Bristol,"Bristol, City of",Bristol UA,18-06-05,E06000023,801,00-HB
11,2016-10-21T16:11:20Z,BRD,MD,Metropolitan district,City of Bradford Metropolitan District Council,Bradford,,,01-04-74,E08000032,380,00-CX
10,2016-10-21T16:11:20Z,BRC,UA,Unitary authority,Bracknell Forest Council,Bracknell Forest,Bracknell Forest UA,,01-04-98,E06000036,867,00-MA
9,2016-10-21T16:11:20Z,BPL,UA,Unitary authority,Blackpool Borough Council,Blackpool,Blackpool UA,,20-06-05,E06000009,890,00-EY
8,2016-10-21T16:11:20Z,BOL,MD,Metropolitan district,Bolton Metropolitan Borough Council,Bolton,,,01-04-74,E08000001,350,00-BL
7,2016-10-21T16:11:20Z,BNS,MD,Metropolitan district,Barnsley Metropolitan Borough Council,Barnsley,,,01-04-74,E08000016,370,00-CC
6,2016-10-21T16:11:20Z,BNH,UA,Unitary authority,Brighton and Hove City Council,Brighton and Hove,Brighton & Hove UA,,19-06-05,E06000043,846,00-ML
5,2016-10-21T16:11:20Z,BMH,UA,Unitary authority,Bournemouth Borough Council,Bournemouth,Bournemouth UA,,19-06-05,E06000028,837,00-HN
4,2016-10-21T16:11:20Z,BIR,MD,Metropolitan district,Birmingham City Council,Birmingham,,,01-07-96,E08000025,330,00-CN
3,2016-10-21T16:11:20Z,BDF,UA,Unitary authority,Bedford Borough Council,Bedford,,,01-04-09,E06000055,822,00-KB
2,2016-10-21T16:11:20Z,BBD,UA,Unitary authority,Blackburn with Darwen Borough Council,Blackburn with Darwen,Blackburn With Darwen UA,,01-04-98,E06000008,889,00-EX
1,2016-10-21T16:11:20Z,BAS,UA,Unitary authority,Bath and North East Somerset Council,Bath and North East Somerset,Bath & North East Somerset UA,,01-04-96,E06000022,800,00-HA
